[genesys] WARNING: Your scanner is not fully supported or at least 
[genesys]          had only limited testing. Please be careful and 
[genesys]          report any failure/success to 
[genesys]          sane-devel@lists.alioth.debian.org. Please provide as many
[genesys]          details as possible, e.g. the exact name of your
[genesys_low] sanei_genesys_write_gl847_register (0x9d, 0x06) completed
[genesys_low] sanei_genesys_write_gl847_register (0xa2, 0x0f) completed
[genesys_low] sanei_genesys_write_gl847_register (0xa6, 0x04) completed
[genesys_low] sanei_genesys_write_gl847_register (0xbd, 0x18) completed
[genesys_low] sanei_genesys_write_gl847_register (0xbe, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc5, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc6, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc7, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc8, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xc9, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xca, 0x00) completed
[genesys_low] sanei_genesys_write_gl847_register (0xf8, 0x01) completed
[genesys_low] sanei_genesys_write_gl847_register (0xfe, 0x08) completed
[genesys_low] sanei_genesys_write_gl847_register (0x0f, 0x01) completed
[genesys_low] sanei_genesys_wait_for_home start
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xc5
[genesys_low] status=PWRBIT BUFEMPTY LAMPSTS MOTORENB
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
[genesys_low] sanei_genesys_read_gl847_register(0x41)=0xe4
[genesys_low] status=PWRBIT BUFEMPTY FEEDFSH LAMPSTS 
